H01;Ulat Tanah (Agrotis ipsilon);Kumpulkan dan musnahkan ulat. Jaga kebersihan kebun. Gunakan umpan beracun (dedak + gula merah + Dursban). Manfaatkan musuh alami (Apenteles). Gunakan insektisida yang dianjurkan .
H02;Lalat Buah (Bactrocera spp.);Kumpulkan buah yang terserang dan musnahkan (bakar/kubur). Pasang perangkap likat kuning (40 bh/Ha) atau perangkap methyl eugenol. Gunakan insektisida.
H03;Ulat Buah Tomat (Helicoverpa armigera);Buang dan musnahkan buah yang terserang. Jaga kebersihan kebun (sanitasi). Tanam tanaman perangkap (Tagetes/Jagung). Gunakan insektisida.
H04;Kutu Kebul (Bemisia tabaci);Rotasi tanaman (bukan famili Solanaceae). Tanam tanaman barier (Jagung/Bunga Matahari). Pasang perangkap likat kuning (40 bh/Ha). Sanitasi gulma. Gunakan pestisida nabati atau insektisida .
H05;Ulat Grayak (Spodoptera litura);Sanitasi kebun. Olah tanah dengan baik. Musnahkan larva/pupa secara mekanis. Gunakan insektisida yang dianjurkan.
H06;Pengorok Daun (Liriomyza huidobrensis);Pasang perangkap likat kuning (80-100 bh/Ha). Musnahkan tanaman/daun yang terserang. Manfaatkan musuh alami (Opius). Gunakan insektisida .
H07;Kutu Hijau (Aphids);Gunakan mulsa perak untuk mengusir kutu. Bersihkan gulma di sekitar tanaman yang bisa jadi inang. Semprot dengan insektisida.
P01;Rebah Kecambah (Rhizoctonia solani);Gunakan bibit sehat. Cabut dan musnahkan tanaman yang terserang. Lakukan perendaman biji sebelum tanam. Gunakan fungisida.
P02;Antraknosa (Colletotrichum gloeosporioides);Sanitasi kebun (kumpulkan daun rontok dan bakar). Lakukan pemangkasan untuk sirkulasi udara. Lakukan pembungkusan buah. Semprot fungisida.
P03;Bercak Daun Septoria (Septoria lycopersici);Lakukan rotasi tanaman. Sanitasi (musnahkan bagian tanaman inang). Gunakan bibit yang bebas patogen. Gunakan fungisida .
P04;Bercak Daun (Early Blight) (Alternaria solani);Lakukan rotasi tanaman. Sanitasi (musnahkan sisa tanaman terinfeksi). Perbaiki drainase lahan. Eradikasi tanaman terserang. Gunakan fungisida .
P05;Busuk Daun (Late Blight) (Phytophthora infestans);Gunakan bibit sehat & varietas resisten. Atur jarak tanam (jangan terlalu rapat). Sanitasi (hilangkan sisa tanaman terinfeksi). Rotasi tanaman. Gunakan fungisida .
P06;Bulukan (Leaf Mold) (Cladosporium fulfum);Tanam di lingkungan yang tidak terlalu lembab (atur sirkulasi udara). Gunakan varietas tahan. Gunakan fungisida.
P07;Layu Fusarium (Fusarium oxysporum);Gunakan bibit sehat & varietas tahan. Lakukan rotasi tanaman. Manfaatkan agens hayati (Tricoderma Spp.). Gunakan fungisida .
P08;Layu Bakteri (Ralstonia solanacearum);Gunakan bibit sehat & varietas tahan. Sanitasi kebun. Jaga drainase (jangan tergenang). Lakukan rotasi tanaman. Tingkatkan pH tanah dengan pemberian kapur/dolomit .
P09;Busuk Buah (Phytophthora palmivora);(Solusi mirip dengan P05, fokus pada pengurangan kelembapan dan sanitasi buah yang jatuh). (Disarikan dari Fadli ).
P10;Bercak Daun Bakteri (Xanthomonas perforans);Gunakan bibit sehat. Sanitasi. Perbaiki drainase. Hindari penyiraman berlebih pada daun. (Disarikan dari Al-Qadi ).
P11;Virus Keriting Daun Kuning (TYLCV);Ini adalah virus yang dibawa oleh Kutu Kebul (H04). Solusi utamanya adalah mengendalikan H04 (perangkap likat kuning, barier jagung, insektisida) .
P12;Virus Mosaik Tomat (TMV);Cabut dan musnahkan tanaman terinfeksi. Bersihkan alat-alat (gunting) dengan desinfektan. Kendalikan vektor (jika ada).
P13;Penyakit Layu Bintik Tomat (TSWV);Cabut dan musnahkan tanaman terinfeksi. Kendalikan vektornya (Thrips). Sanitasi gulma di sekitar kebun.
P14;Blossom End Rot (Busuk Ujung Buah);Lakukan pengapuran (dolomit/kaptan) untuk menaikkan pH. Jaga kelembapan tanah agar stabil (jangan terlalu kering/basah). Tambahkan pupuk Kalsium (Ca).
