id,nama
G01,pH Tanah di bawah 5.5 (Terlalu Asam)
G02,pH Tanah di atas 7.0 (Terlalu Basa)
G03,Kelembapan Udara di atas 85% (Sangat Lembab)
G04,Suhu Udara di bawah 20°C (Dingin/Sejuk)
G05,Suhu Udara di atas 30°C (Panas)
G06,Kelembapan Tanah di bawah 40% (Kering)
G07,Kelembapan Tanah di atas 90% (Terlalu Basah)
G08,Ada lubang di buah
G09,Buah busuk dan berlubang-lubang
G10,Buah busuk (secara umum)
G11,Ada belatung/larva di dalam buah jika buah dibuka
G12,"Buah memiliki bercak coklat kehijauan, basah, dan bergelombang"
G13,"Bagian bawah/pantat buah busuk, kering, dan menghitam (Blossom End Rot)"
G14,Ada bercak kecil berair dan cekung pada buah
G15,Di pangkal buah dekat tangkai ada bercak ungu
G16,"Daun bercak coklat/kehitaman, tidak beraturan, agak basah/lembek"
G17,"Daun bercak bulat/lingkaran, coklat tua/hitam, ada cincin (target spot)"
G18,"Daun bercak bulat, keabu-abuan di tengah, dikelilingi warna hitam"
G19,Daun bagian bawah (tua) menguning
G20,Bagian bawah daun ada bintik/tepung putih
G21,Daun keriting dan kerdil
G22,Daun keriting ke bawah
G23,Daun keriting ke atas
G24,Daun sempit seperti pita
G25,Daun belang-belang (mosaik) hijau muda dan hijau tua
G26,Daun mudah rapuh
G27,"Daun berlubang-lubang, tinggal tulang daun"
G28,Ada liang/garis putih tidak beraturan di dalam daun (minir)
G29,Daun layu (dimulai dari pucuk) seperti kekurangan air
G30,Daun muda layu
G31,Tanaman terpotong di pangkal batang (dekat tanah)
G32,Tanaman yang masih muda (bibit) tiba-tiba layu/rebah
G33,Batang berwarna coklat
G34,Batang mudah patah
G35,Tanaman layu secara keseluruhan
