Kode;Nama Penyakit;Penyebab;Gejala yang Muncul;Solusi & Pencegahan (Umum);Rekomendasi Kimia (Pestisida);;
P01;Rebah Kecambah;Rhizoctonia solani;Kelembapan Tanah di atas 90% (Terlalu Basah), Bibit muda layu/rebah tiba-tiba;Gunakan bibit sehat, Cabut dan musnahkan tanaman yang terserang, Lakukan perendaman biji sebelum tanam.;Bahan Aktif: Propamokarb hidroklorida (Contoh: Previcur-N, Infinito), Mankozeb (Contoh: Dithane M-45);;
P02;Antraknosa;Colletotrichum gloeosporioides;Ada bercak kecil berair dan cekung pada buah, Buah busuk (secara umum);Sanitasi kebun (kumpulkan daun rontok dan bakar), Lakukan pemangkasan untuk sirkulasi udara, Lakukan pembungkusan buah.;Bahan Aktif: Propineb (Contoh: Antracol 70 WP), Difenokonazol (Contoh: Score 250 EC), Azoksistrobin (Contoh: Amistartop);;
P03;Bercak Daun Septoria;Septoria lycopersici;Daun bercak bulat, keabu-abuan di tengah, dikelilingi warna hitam;Lakukan rotasi tanaman, Sanitasi (musnahkan bagian tanaman inang), Gunakan bibit yang bebas patogen.;Bahan Aktif: Klorotalonil (Contoh: Daconil 75 WP), Mankozeb (Contoh: Dithane M-45);;
P04;Bercak Daun (Early Blight);Alternaria solani;Daun bercak bulat/lingkaran, coklat tua/hitam, ada cincin (target spot);Lakukan rotasi tanaman, Perbaiki drainase lahan, Eradikasi tanaman terserang.;Bahan Aktif: Mankozeb (Contoh: Dithane M-45), Klorotalonil (Contoh: Daconil 75 WP), Difenokonazol (Contoh: Score 250 EC);;
P05;Busuk Daun (Late Blight);Phytophthora infestans;Kelembapan Udara > 85%, Suhu < 20?°C, Daun bercak coklat basah, Daun menguning, Batang coklat;Gunakan bibit sehat & varietas resisten, Atur jarak tanam (jangan terlalu rapat), Kurangi kelembapan.;Bahan Aktif: Mankozeb+Simoksanil (Contoh: Curxanil), Simoksanil (Contoh: Cymoxil), Dimetomorf (Contoh: Acrobat);;
P06;Bulukan (Leaf Mold);Cladosporium fulfum;Kelembapan Udara > 85%, Bercak daun kuning tidak beraturan;Tanam di lingkungan yang tidak terlalu lembab (atur sirkulasi udara), Gunakan varietas tahan.;Bahan Aktif: Benomil (Contoh: Benhasil 50 WP), Mankozeb (Contoh: Dithane M-45);;
P07;Layu Fusarium;Fusarium oxysporum;pH Tanah > 7.0, Suhu > 30?°C, Daun tua menguning, Daun layu dari pucuk;Gunakan varietas tahan, Rotasi tanaman, Gunakan agens hayati (Trichoderma) pada media tanam.;Bahan Aktif: Benomil (Contoh: Benhasil 50 WP), Tebukonazol (Contoh: Folicur 430 SC);;
P08;Layu Bakteri;Ralstonia solanacearum;pH Tanah < 5.5, Suhu > 30?°C, Daun muda layu, Batang coklat, Tanaman layu total;Sanitasi kebun, Jaga drainase, Tingkatkan pH tanah dengan Kapur/Dolomit (Penting!).;Bahan Aktif: Tembaga hidroksida (Contoh: Kocide 54 WG, Copcide), Tembaga oksiklorida (Contoh: Cuprarikh);;
P09;Busuk Buah;Phytophthora palmivora;Kelembapan Tanah > 90%, Bercak buah basah/cekung, Bercak ungu di pangkal;Kurangi kelembapan, Beri alas pada buah agar tidak menyentuh tanah, Perbaiki drainase.;Bahan Aktif: Mankozeb (Contoh: Dithane M-45);;
P10;Bercak Daun Bakteri;Xanthomonas perforans;Daun bercak coklat/kehitaman tidak beraturan;Gunakan bibit sehat, Hindari menyiram daun (sprinkle), Sanitasi.;Bahan Aktif: Tembaga hidroksida (Contoh: Kocide 54 WG), Tembaga oksiklorida (Contoh: Cuprarikh);;
P11;Virus Kuning (TYLCV);Gemini Virus;Daun keriting ke atas (mangkuk), Daun keriting dan kerdil;Tidak ada obat penyembuh. Cabut tanaman sakit. Kendalikan vektor (Kutu Kebul) secara ketat.;Produk untuk Vektor (Kutu Kebul): Imidakloprid (Contoh: Confidor, Abuki), Abamektin (Contoh: Agrimec, Demolish), Tiametoksam (Contoh: Actara);;
P12;Virus Mosaik Tomat (TMV);Tobamovirus;Daun belang-belang (mosaik), Daun sempit seperti pita;Tidak ada obat penyembuh. Sterilkan alat potong, Cuci tangan, Kendalikan vektor (Kutu Daun).;Produk untuk Vektor (Aphids), Imidakloprid (Contoh: Confidor), Abamektin (Contoh: Agrimec);;
P13;Layu Bintik Tomat (TSWV);Tospovirus;Daun muda layu, Bercak cincin pada daun/buah;Tidak ada obat penyembuh. Cabut tanaman sakit. Kendalikan vektor (Thrips).;Produk untuk Vektor (Thrips): Abamektin (Contoh: Agrimec), Spinetoram (Contoh: Endure), Imidakloprid (Contoh: Confidor);;
P14;Blossom End Rot;Defisiensi Kalsium;pH Tanah < 5.5, Tanah Kering, Pantat buah busuk/hitam;Beri Kapur/Dolomit untuk naikkan pH, Jaga penyiraman stabil.;Pupuk Kalsium: Kalsium Nitrat (CN), Pupuk Calci-Bor, Kapur Dolomit;;
